epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,71.8824,2.1931,3.24574,1.29429,0.00226,0.31387,0.00672,0.00227,2.09357,4.51885,1.25702,0.000656566,0.000656566,0.000656566
2,141.525,2.17111,2.06018,1.26595,0.6593,0.46488,0.50162,0.1748,2.28417,2.49838,1.3201,0.00125773,0.00125773,0.00125773
3,216.647,2.16259,1.66474,1.30636,0.58936,0.48551,0.46957,0.1537,2.13744,2.43091,1.27082,0.0017929,0.0017929,0.0017929
4,293.258,2.10257,1.44303,1.24996,0.66574,0.56394,0.58459,0.21297,2.0928,1.57661,1.25567,0.001703,0.001703,0.001703
5,369.468,2.10396,1.32324,1.25339,0.75218,0.65819,0.65129,0.22731,2.10922,1.34696,1.24981,0.001604,0.001604,0.001604
6,453.768,2.04114,1.16765,1.23878,0.73425,0.63872,0.67141,0.26118,2.00183,1.15486,1.20175,0.001505,0.001505,0.001505
7,530.67,2.07879,1.17052,1.22977,0.72634,0.59888,0.62671,0.24857,2.00053,1.20232,1.21255,0.001406,0.001406,0.001406
8,630.175,2.03821,1.1454,1.23882,0.76211,0.63567,0.69253,0.28084,2.00334,1.08474,1.20233,0.001307,0.001307,0.001307
9,844.133,2.02823,1.09515,1.24158,0.72352,0.63696,0.65867,0.27912,1.94112,1.11787,1.18084,0.001208,0.001208,0.001208
10,1100.71,1.99546,1.07231,1.20842,0.74992,0.64241,0.67904,0.28263,1.99742,1.06929,1.1973,0.001109,0.001109,0.001109
11,1335.87,2.01033,1.07917,1.24424,0.78252,0.67603,0.72619,0.30887,1.90656,1.04188,1.15328,0.00101,0.00101,0.00101
12,1554.14,1.94771,1.06944,1.2267,0.74577,0.66155,0.69528,0.28561,1.94026,1.07839,1.15629,0.000911,0.000911,0.000911
13,1754.66,1.95796,1.05045,1.22948,0.80194,0.71203,0.74662,0.32748,1.92184,0.98179,1.15475,0.000812,0.000812,0.000812
14,1969.04,1.94862,1.02125,1.22857,0.77656,0.6734,0.72161,0.28303,1.96459,1.02456,1.16505,0.000713,0.000713,0.000713
15,2169.01,1.93655,0.9917,1.20038,0.79949,0.70325,0.74947,0.33788,1.8537,0.9535,1.13313,0.000614,0.000614,0.000614
16,2387.01,1.87835,0.97507,1.19167,0.80065,0.70808,0.75931,0.34676,1.83853,0.94704,1.12203,0.000515,0.000515,0.000515
17,2587.03,1.87891,0.95449,1.20353,0.81207,0.70945,0.76757,0.3545,1.83369,0.89704,1.11626,0.000416,0.000416,0.000416
18,2804.75,1.84828,0.92203,1.17232,0.8374,0.71861,0.77773,0.37188,1.7815,0.88113,1.10231,0.000317,0.000317,0.000317
19,3005.81,1.83386,0.91426,1.16496,0.82188,0.7309,0.78965,0.37172,1.80098,0.8767,1.10408,0.000218,0.000218,0.000218
20,3220.05,1.82214,0.89614,1.16719,0.83302,0.73442,0.7892,0.37069,1.78845,0.85865,1.09905,0.000119,0.000119,0.000119
